Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,319,108,2,2.5,3,8.76,0,0.66
2,297,100,1,1.5,2,7.9,0,0.52
3,324,111,3,2.5,2,8.8,1,0.79
4,325,114,3,3.5,3,9.04,1,0.76
5,334,120,5,4,5,9.87,1,0.97
6,298,101,2,1.5,2,7.86,0,0.54
7,298,98,2,1.5,2.5,7.5,1,0.44
8,307,110,4,4,4.5,8.37,0,0.79
9,293,97,2,2,4,7.8,1,0.64
10,304,100,2,2.5,3.5,8.07,0,0.64
11,308,104,2,2.5,3,8.07,0,0.65
12,307,105,2,2.5,3,7.65,0,0.58
13,317,106,3,4,3.5,8.5,1,0.75
14,306,105,2,2.5,3,8.22,1,0.72
15,329,114,5,4,5,9.3,1,0.86
16,303,99,3,2,2.5,7.66,0,0.36
17,325,110,2,3,2.5,8.76,1,0.75
18,303,100,2,3,3.5,8.06,1,0.64
19,320,104,3,3,3.5,8.74,1,0.76
20,324,107,4,4,4.5,8.87,1,0.76
21,339,119,5,4.5,4,9.7,0,0.89
22,324,110,4,4.5,4,9.15,1,0.82
23,316,101,2,2.5,2,8.32,1,0.61
24,303,105,5,5,4.5,8.65,0,0.77
25,315,105,3,2,2.5,8.48,0,0.75
26,340,120,4,5,5,9.5,1,0.96
27,322,110,3,3.5,2.5,8.67,1,0.8
28,315,104,3,3,2.5,8.33,0,0.67
29,338,117,4,3.5,4.5,9.46,1,0.91
30,323,113,3,4,4,8.88,1,0.79
31,305,112,3,3,3.5,8.65,0,0.71
32,309,108,3,2.5,3,8.12,0,0.72
33,331,115,5,4.5,3.5,9.36,1,0.93
34,318,110,3,4,3,8.8,0,0.63
35,299,96,2,1.5,2,7.86,0,0.54
36,309,100,2,3,3,8.1,0,0.48
37,295,96,2,1.5,2,7.34,0,0.47
38,314,103,2,2,3,8.21,0,0.65
39,295,93,1,2,2,7.2,0,0.46
40,333,118,5,5,5,9.35,1,0.92
41,323,110,5,4,5,8.98,1,0.87
42,312,99,1,1,1.5,8.01,1,0.52
43,312,106,3,4,3.5,8.79,1,0.81
44,298,105,3,3.5,4,8.54,0,0.69
45,314,106,3,3,5,8.9,0,0.74
46,334,116,4,4,3.5,9.54,1,0.93
47,340,120,5,4.5,4.5,9.6,1,0.94
48,321,112,5,5,5,9.06,1,0.86
49,328,112,4,4,4.5,9.1,1,0.78
50,326,112,3,3.5,3,9.1,1,0.84
51,311,105,2,3,2,8.12,1,0.73
52,316,110,3,4,4.5,8.78,1,0.69
53,314,110,3,4,4,8.8,0,0.75
54,306,106,2,2,2.5,8.14,0,0.61
55,327,113,4,3.5,3,8.69,1,0.8
56,318,106,3,2,3,8.65,0,0.71
57,296,97,2,1.5,2,7.8,0,0.49
58,325,112,4,3.5,3.5,8.92,0,0.55
59,335,118,5,4.5,3.5,9.44,1,0.93
60,340,115,5,4.5,4.5,9.45,1,0.94
61,328,108,4,4.5,4,9.18,1,0.84
62,321,110,3,3.5,5,8.85,1,0.82
63,302,99,1,2,2,7.25,0,0.57
64,336,118,5,4.5,5,9.53,1,0.94
65,299,100,1,1.5,2,7.89,0,0.59
66,324,111,3,2.5,2,8.8,1,0.79
67,316,102,3,2,3,7.4,0,0.64
68,310,106,4,4.5,4.5,9.04,1,0.66
69,316,106,2,2.5,4,8.32,0,0.72
70,325,110,4,3.5,4,8.67,1,0.73
71,315,103,1,1.5,2,7.86,0,0.57
72,321,112,5,5,5,9.06,1,0.86
73,312,105,3,2,3,8.02,1,0.5
74,298,98,2,1.5,2.5,7.5,1,0.44
75,327,112,3,3,3,8.72,1,0.74
76,327,103,3,4,4,8.3,1,0.74
77,330,115,5,4.5,3,9.34,1,0.9
78,318,106,3,2,3,8.65,0,0.71
79,322,107,3,3.5,3.5,8.46,1,0.71
80,314,105,3,3.5,2.5,8.3,0,0.54
81,313,101,3,2.5,3,8.04,0,0.62
82,329,114,5,4,5,9.3,1,0.86
83,312,104,3,3.5,3.5,8.42,0,0.74
84,307,107,2,3,3.5,8.52,1,0.78
85,326,116,3,3.5,4,9.14,1,0.81
86,312,109,3,3,3,8.69,0,0.77
87,321,107,2,2,1.5,8.44,0,0.81
88,339,116,4,4,3.5,9.8,1,0.96
89,305,102,2,2,2.5,8.18,0,0.62
90,323,110,3,4,3.5,9.1,1,0.79
91,331,119,4,5,4.5,9.34,1,0.9
92,298,92,1,2,2,7.88,0,0.51
93,310,106,4,1.5,2.5,8.36,0,0.57
94,303,102,3,3.5,3,8.5,0,0.62
95,327,113,4,4.5,4.5,9.11,1,0.89
