Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,308,106,3,3,3,8.24,0,0.58
2,322,110,3,3,3.5,8,0,0.7
3,312,106,3,4,3.5,8.79,1,0.81
4,326,111,5,4.5,4,9.23,1,0.88
5,324,111,4,3,3,9.01,1,0.82
6,316,104,3,3,3.5,8,1,0.72
7,301,106,4,2.5,3,8.47,0,0.57
8,301,104,3,3.5,4,8.12,1,0.68
9,318,109,1,3.5,3.5,9.12,0,0.78
10,321,111,3,3.5,4,8.83,1,0.77
11,324,111,3,2.5,2,8.8,1,0.79
12,308,101,2,3,4,7.9,0,0.68
13,313,104,3,4,4.5,8.65,0,0.73
14,314,110,3,4,4,8.8,0,0.75
15,329,114,2,2,4,8.56,1,0.72
16,297,98,2,2.5,3,7.67,0,0.59
17,327,113,3,3.5,3,8.66,1,0.8
18,303,102,3,3.5,3,8.5,0,0.62
19,309,99,3,4,4,8.56,0,0.76
20,311,102,3,4.5,4,8.64,1,0.68
21,323,108,3,3.5,3,8.6,0,0.45
22,332,119,4,5,4.5,9.24,1,0.9
23,328,110,4,5,4,9.14,1,0.82
24,325,112,2,3,3.5,8.96,1,0.8
25,298,101,2,1.5,2,7.86,0,0.54
26,299,94,1,1,1,7.34,0,0.42
27,329,114,5,4,5,9.3,1,0.86
28,315,104,3,3,2.5,8.33,0,0.67
29,322,110,5,5,4,9.1,1,0.88
30,310,102,3,3.5,4,8.02,1,0.66
31,327,111,4,3,4,8.4,1,0.78
32,340,120,5,4.5,4.5,9.91,1,0.97
33,318,106,2,4,4,7.92,1,0.64
34,327,112,3,3,3,8.72,1,0.74
35,338,115,5,4.5,5,9.23,1,0.91
36,324,111,4,3,3,9.01,1,0.82
37,324,113,4,4.5,4,8.79,0,0.76
38,300,99,1,3,2,6.8,1,0.36
39,331,116,5,5,5,9.38,1,0.93
40,315,105,2,2,2.5,7.65,0,0.39
41,327,109,3,3.5,4,8.77,1,0.79
42,327,103,3,4,4,8.3,1,0.74
43,320,108,3,3.5,4,8.44,1,0.76
44,325,110,4,3.5,4,8.67,1,0.73
45,307,107,2,3,3.5,8.52,1,0.78
46,316,109,3,3.5,3,8.76,0,0.77
47,332,119,4,5,4.5,9.24,1,0.9
48,334,114,4,4,4,9.43,1,0.93
49,308,106,3,3.5,2.5,8.21,1,0.75
50,299,100,3,2,2,8.02,0,0.63
51,324,112,4,4,2.5,8.1,1,0.72
52,311,104,2,2.5,3.5,8.48,0,0.71
53,317,104,2,3,3,8.76,0,0.77
54,294,93,1,1.5,2,7.36,0,0.46
55,326,102,4,5,5,8.76,1,0.77
56,334,116,4,4,3.5,9.54,1,0.93
57,315,103,1,1.5,2,7.86,0,0.57
58,290,100,1,1.5,2,7.56,0,0.47
59,332,118,5,5,5,9.64,1,0.94
60,322,105,2,3,3,8.45,1,0.65
61,319,110,3,3.5,3.5,9.04,0,0.82
62,312,105,2,2,2.5,8.45,0,0.72
63,300,105,1,1,2,7.8,0,0.58
64,316,110,3,3.5,4,8.56,0,0.75
65,330,116,4,5,4.5,9.45,1,0.91
